Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2023-01-31,387900,195073,178953,6379,3629,192827,13874,3866,199206
2023-02-01,585185,118283,56321,18947,13208,466902,410581,378426,485849
2023-02-02,496689,177804,106668,13566,13779,318885,212217,184872,332451
2023-02-03,489261,28430,5200,9997,20667,460831,455631,424967,470828
2023-02-04,616424,138274,133338,6969,21796,478150,344812,316047,485119
2023-02-05,318403,220427,132280,2827,29794,97976,-34304,-66925,100803
2023-02-06,245053,304988,83011,5088,22571,-59935,-142946,-170605,-54847
2023-02-07,31504,234518,189967,12850,29200,-203014,-392981,-435031,-190164
2023-02-08,718017,228141,61845,13640,19208,489876,428031,395183,503516
2023-02-09,204176,356954,178664,19526,22226,-152778,-331442,-373194,-133252
2023-02-10,340318,315532,192729,7420,15689,24786,-167943,-191052,32206
2023-02-11,520572,284175,111080,4957,29155,236397,125317,91205,241354
2023-02-12,776700,307802,14274,8469,11758,468898,454624,434397,477367
2023-02-13,479058,233265,152189,11961,21562,245793,93604,60081,257754
2023-02-14,143148,240549,23339,19796,15847,-97401,-120740,-156383,-77605
2023-02-15,292678,289478,129364,8721,28579,3200,-126164,-163464,11921
2023-02-16,28831,276848,115643,12888,29433,-248017,-363660,-405981,-235129
2023-02-17,570507,165320,141251,5955,23033,405187,263936,234948,411142
2023-02-18,780800,137712,19008,8978,686,643088,624080,614416,652066
2023-02-19,273654,213022,143340,2666,15416,60632,-82708,-100790,63298
2023-02-20,775154,147328,66027,19586,3241,627826,561799,538972,647412
2023-02-21,614662,372444,178715,2551,1359,242218,63503,59593,244769
2023-02-22,609445,134263,80429,10646,21203,475182,394753,362904,485828
2023-02-23,605151,34911,5578,7686,22460,570240,564662,534516,577926
2023-02-24,411430,74525,186494,9310,11826,336905,150411,129275,346215
2023-02-25,247271,114751,150916,5639,26208,132520,-18396,-50243,138159
2023-02-26,581443,20825,12757,16191,14874,560618,547861,516796,576809
2023-02-27,347270,55704,116948,12755,13144,291566,174618,148719,304321
2023-02-28,227565,307696,144680,6602,24509,-80131,-224811,-255922,-73529
2023-03-01,598771,375322,85526,4131,4701,223449,137923,129091,227580
2023-03-02,663938,327550,27484,1627,4631,336388,308904,302646,338015
2023-03-03,610972,381312,93814,10838,1086,229660,135846,123922,240498
2023-03-04,540607,81355,11270,3199,26301,459252,447982,418482,462451
2023-03-05,672093,159589,20604,10360,17712,512504,491900,463828,522864
2023-03-06,610638,231100,143970,4024,14542,379538,235568,217002,383562
2023-03-07,36889,247479,131728,5169,25781,-210590,-342318,-373268,-205421
2023-03-08,43009,284870,138960,16566,29034,-241861,-380821,-426421,-225295
2023-03-09,724503,20085,194318,19638,1986,704418,510100,488476,724056
2023-03-10,568949,78291,143071,10062,623,490658,347587,336902,500720
2023-03-11,656555,328833,23099,9861,25563,327722,304623,269199,337583
2023-03-12,661422,250537,112600,10516,29602,410885,298285,258167,421401
2023-03-13,91169,321727,28658,1517,9385,-230558,-259216,-270118,-229041
2023-03-14,88752,247967,12373,12517,20791,-159215,-171588,-204896,-146698
2023-03-15,30332,256386,108080,5915,19473,-226054,-334134,-359522,-220139
2023-03-16,767858,104662,34666,1196,28674,663196,628530,598660,664392
2023-03-17,405137,353805,41472,4954,2288,51332,9860,2618,56286
2023-03-18,75765,237712,112143,11342,5784,-161947,-274090,-291216,-150605
2023-03-19,571109,366073,124743,5463,1952,205036,80293,72878,210499
2023-03-20,780976,20948,83062,5439,4635,760028,676966,666892,765467
2023-03-21,141545,359661,148399,18162,2988,-218116,-366515,-387665,-199954
2023-03-22,710324,301778,129791,12846,8151,408546,278755,257758,421392
2023-03-23,44303,141437,155797,3836,4887,-97134,-252931,-261654,-93298
2023-03-24,272292,86377,120997,935,13157,185915,64918,50826,186850
2023-03-25,317212,385547,196198,15568,27046,-68335,-264533,-307147,-52767
2023-03-26,695236,190667,63840,4113,6567,504569,440729,430049,508682
2023-03-27,596681,112861,193623,1403,12355,483820,290197,276439,485223
2023-03-28,343393,72823,192940,10203,24263,270570,77630,43164,280773
2023-03-29,476270,357262,95870,8664,19682,119008,23138,-5208,127672
2023-03-30,445738,43359,141820,11584,3329,402379,260559,245646,413963
2023-03-31,585331,289913,178707,16585,25814,295418,116711,74312,312003
2023-04-01,218250,58406,124303,15914,27889,159844,35541,-8262,175758
2023-04-02,506415,188355,28322,16830,29081,318060,289738,243827,334890
2023-04-03,456719,21431,21451,924,4886,435288,413837,408027,436212
2023-04-04,625932,58458,23538,3410,665,567474,543936,539861,570884
2023-04-05,246165,346652,126292,3548,7184,-100487,-226779,-237511,-96939
2023-04-06,566308,93665,82191,6944,16161,472643,390452,367347,479587
2023-04-07,103332,384764,117959,2771,28825,-281432,-399391,-430987,-278661
2023-04-08,437248,127158,54837,15390,4284,310090,255253,235579,325480
2023-04-09,28684,223715,64330,10602,22001,-195031,-259361,-291964,-184429
2023-04-10,31134,29703,134614,17688,25509,1431,-133183,-176380,19119
2023-04-11,232566,347932,119494,7833,29688,-115366,-234860,-272381,-107533
2023-04-12,679580,164784,85925,1688,3385,514796,428871,423798,516484
2023-04-13,244759,179646,165053,4708,7638,65113,-99940,-112286,69821
2023-04-14,290634,284872,113211,3150,25699,5762,-107449,-136298,8912
2023-04-15,652394,230996,182966,17592,22946,421398,238432,197894,438990
2023-04-16,594499,104501,145214,6932,24722,489998,344784,313130,496930
2023-04-17,437023,255800,65767,17013,6253,181223,115456,92190,198236
2023-04-18,221326,196027,199829,15050,26561,25299,-174530,-216141,40349
2023-04-19,490454,61078,139860,5271,29766,429376,289516,254479,434647
2023-04-20,601538,286820,101340,14614,22140,314718,213378,176624,329332
2023-04-21,362470,357933,186825,10854,10225,4537,-182288,-203367,15391
2023-04-22,558933,145026,115137,11707,15966,413907,298770,271097,425614
2023-04-23,205080,388816,143598,14976,28690,-183736,-327334,-371000,-168760
2023-04-24,186406,251408,119546,16632,908,-65002,-184548,-202088,-48370
2023-04-25,119335,288216,152935,17077,12916,-168881,-321816,-351809,-151804
2023-04-26,646179,166299,120856,18455,24791,479880,359024,315778,498335
2023-04-27,582181,368480,31637,7888,6632,213701,182064,167544,221589
2023-04-28,284730,277719,23031,14370,1851,7011,-16020,-32241,21381
2023-04-29,483711,270832,51636,12955,6249,212879,161243,142039,225834
2023-04-30,356379,330357,94511,2945,18450,26022,-68489,-89884,28967
2023-05-01,245781,212423,65742,15314,12443,33358,-32384,-60141,48672
2023-05-02,373230,108578,60298,1971,5784,264652,204354,196599,266623
2023-05-03,433259,85370,38473,19617,27412,347889,309416,262387,367506
2023-05-04,334986,47970,12145,664,9890,287016,274871,264317,287680
2023-05-05,711769,248748,134789,16341,28376,463021,328232,283515,479362
2023-05-06,778413,220551,105984,19840,15023,557862,451878,417015,577702
2023-05-07,226235,256108,126622,3286,4795,-29873,-156495,-164576,-26587
2023-05-08,677622,92253,64812,16262,2303,585369,520557,501992,601631
2023-05-09,453130,295282,38155,12768,11794,157848,119693,95131,170616
2023-05-10,50430,135251,15862,15382,14785,-84821,-100683,-130850,-69439
2023-05-11,132377,249327,140905,15854,13826,-116950,-257855,-287535,-101096
2023-05-12,365090,204019,112138,7684,639,161071,48933,40610,168755
2023-05-13,504729,332240,35894,16517,6937,172489,136595,113141,189006
2023-05-14,747265,127150,92748,11739,26118,620115,527367,489510,631854
2023-05-15,348118,139172,132999,14589,8767,208946,75947,52591,223535
2023-05-16,671943,228242,52406,14463,1536,443701,391295,375296,458164
2023-05-17,45905,37790,57641,4260,27809,8115,-49526,-81595,12375
2023-05-18,63455,380839,45292,1420,10512,-317384,-362676,-374608,-315964
2023-05-19,531551,85603,162450,19059,1928,445948,283498,262511,465007
2023-05-20,489764,113244,157538,10746,27925,376520,218982,180311,387266
2023-05-21,277966,121664,112273,4076,4303,156302,44029,35650,160378
2023-05-22,680927,177522,35796,14391,15869,503405,467609,437349,517796
2023-05-23,203815,259241,164297,4337,24352,-55426,-219723,-248412,-51089
2023-05-24,342212,74565,148680,17081,21061,267647,118967,80825,284728
2023-05-25,116291,394132,16029,15542,24028,-277841,-293870,-333440,-262299
2023-05-26,317124,135359,159828,3866,19442,181765,21937,-1371,185631
2023-05-27,82270,293927,182022,19807,10172,-211657,-393679,-423658,-191850
2023-05-28,193648,25665,28984,18817,2768,167983,138999,117414,186800
2023-05-29,601599,42665,140657,1407,12429,558934,418277,404441,560341
2023-05-30,753356,70915,75878,2961,17748,682441,606563,585854,685402
2023-05-31,228377,212965,163330,5329,18749,15412,-147918,-171996,20741
2023-06-01,299561,330968,90249,14165,3704,-31407,-121656,-139525,-17242
2023-06-02,58691,318776,42863,19546,22105,-260085,-302948,-344599,-240539
2023-06-03,29585,169718,22693,17335,11453,-140133,-162826,-191614,-122798
2023-06-04,131154,56713,63446,16432,6567,74441,10995,-12004,90873
2023-06-05,323328,125112,83740,10349,5274,198216,114476,98853,208565
2023-06-06,588233,213404,106509,11073,17150,374829,268320,240097,385902
2023-06-07,211406,376598,121669,14055,22870,-165192,-286861,-323786,-151137
2023-06-08,239155,194176,107096,11336,16355,44979,-62117,-89808,56315
2023-06-09,83588,150291,92666,15770,29041,-66703,-159369,-204180,-50933
2023-06-10,268015,171238,46573,16960,10730,96777,50204,22514,113737
2023-06-11,65945,381533,104518,15470,11282,-315588,-420106,-446858,-300118
2023-06-12,454963,15036,150883,5243,21094,439927,289044,262707,445170
2023-06-13,776248,299493,173116,4224,18625,476755,303639,280790,480979
2023-06-14,260436,276107,58180,10514,21978,-15671,-73851,-106343,-5157
2023-06-15,694863,14081,146015,7871,17279,680782,534767,509617,688653
2023-06-16,186655,289489,54854,16189,22662,-102834,-157688,-196539,-86645
2023-06-17,397798,156050,145427,10496,16363,241748,96321,69462,252244
2023-06-18,260188,305617,51857,4090,4146,-45429,-97286,-105522,-41339
2023-06-19,126978,117193,145273,11447,22009,9785,-135488,-168944,21232
2023-06-20,670343,25768,41558,3809,27696,644575,603017,571512,648384
2023-06-21,675289,302697,167842,634,2419,372592,204750,201697,373226
2023-06-22,477091,83031,125404,4278,24375,394060,268656,240003,398338
2023-06-23,192893,105775,75926,17815,11659,87118,11192,-18282,104933
2023-06-24,329507,54739,86619,14047,19296,274768,188149,154806,288815
2023-06-25,553304,385463,23950,12082,7327,167841,143891,124482,179923
2023-06-26,60667,175784,32733,4392,22763,-115117,-147850,-175005,-110725
2023-06-27,134242,94431,175523,14139,25133,39811,-135712,-174984,53950
2023-06-28,378155,362099,78084,5704,21448,16056,-62028,-89180,21760
2023-06-29,493776,284202,129304,3770,2705,209574,80270,73795,213344
2023-06-30,296746,57077,66116,15915,22466,239669,173553,135172,255584
2023-07-01,60483,256515,36235,8358,27270,-196032,-232267,-267895,-187674
2023-07-02,694511,214566,187799,4953,3951,479945,292146,283242,484898
2023-07-03,101892,75663,142200,19102,19826,26229,-115971,-154899,45331
2023-07-04,128845,112769,41093,11333,18801,16076,-25017,-55151,27409
2023-07-05,473596,79745,133050,10885,3533,393851,260801,246383,404736
2023-07-06,425096,208834,99748,15686,18147,216262,116514,82681,231948
2023-07-07,265165,28057,171710,6402,25210,237108,65398,33786,243510
2023-07-08,92615,43263,52438,18158,7179,49352,-3086,-28423,67510
2023-07-09,780695,132936,164725,8057,14310,647759,483034,460667,655816
2023-07-10,521267,86998,155876,14469,13168,434269,278393,250756,448738
2023-07-11,445780,32410,42691,9951,16071,413370,370679,344657,423321
2023-07-12,236855,248038,9873,15237,21915,-11183,-21056,-58208,4054
2023-07-13,567360,187406,159111,15856,11768,379954,220843,193219,395810
2023-07-14,552171,198234,32218,16704,28911,353937,321719,276104,370641
2023-07-15,52815,43804,46016,14211,25129,9011,-37005,-76345,23222
2023-07-16,591270,313202,199467,15635,17715,278068,78601,45251,293703
2023-07-17,654438,29606,37028,8115,21962,624832,587804,557727,632947
2023-07-18,349233,308931,156015,5456,27754,40302,-115713,-148923,45758
2023-07-19,252340,50202,91883,4483,27983,202138,110255,77789,206621
2023-07-20,542953,124363,98482,18870,8409,418590,320108,292829,437460
2023-07-21,198161,48519,63115,5871,28037,149642,86527,52619,155513
2023-07-22,165957,238151,95663,9170,27588,-72194,-167857,-204615,-63024
2023-07-23,537943,179387,147023,961,10934,358556,211533,199638,359517
2023-07-24,82871,351838,84362,1893,14035,-268967,-353329,-369257,-267074
2023-07-25,758884,296668,189011,2563,24372,462216,273205,246270,464779
2023-07-26,734507,194367,34752,2822,889,540140,505388,501677,542962
2023-07-27,769360,381665,127200,11205,4248,387695,260495,245042,398900
2023-07-28,512548,114288,33929,4245,27274,398260,364331,332812,402505
2023-07-29,25758,347375,157350,8010,21021,-321617,-478967,-507998,-313607
2023-07-30,425714,143305,123284,7178,27747,282409,159125,124200,289587
2023-07-31,359858,265057,187835,4268,22902,94801,-93034,-120204,99069
2023-08-01,188195,349913,154491,15209,21079,-161718,-316209,-352497,-146509
2023-08-02,179837,250065,180167,2937,25332,-70228,-250395,-278664,-67291
2023-08-03,265394,162022,126463,6412,818,103372,-23091,-30321,109784
2023-08-04,222593,358380,132158,4172,17219,-135787,-267945,-289336,-131615
2023-08-05,291459,179275,63136,14437,14798,112184,49048,19813,126621
2023-08-06,480526,172046,178707,13818,5243,308480,129773,110712,322298
2023-08-07,424390,206005,11660,18917,11106,218385,206725,176702,237302
2023-08-08,140502,335398,199911,5613,18935,-194896,-394807,-419355,-189283
2023-08-09,62259,159629,96355,11374,21137,-97370,-193725,-226236,-85996
2023-08-10,24663,83814,57461,14480,23031,-59151,-116612,-154123,-44671
2023-08-11,228125,58226,78530,14641,6254,169899,91369,70474,184540
2023-08-12,148336,282925,53716,5007,1905,-134589,-188305,-195217,-129582
2023-08-13,721372,51482,118228,16255,24461,669890,551662,510946,686145
2023-08-14,208223,79705,154204,14934,29676,128518,-25686,-70296,143452
2023-08-15,204061,334102,43520,10897,14564,-130041,-173561,-199022,-119144
2023-08-16,23248,244756,87729,9597,14066,-221508,-309237,-332900,-211911
2023-08-17,120990,389199,121278,12797,14565,-268209,-389487,-416849,-255412
2023-08-18,263566,144053,196390,7498,16084,119513,-76877,-100459,127011
2023-08-19,414950,218184,181054,11110,15491,196766,15712,-10889,207876
2023-08-20,57792,288388,199956,19926,9359,-230596,-430552,-459837,-210670
2023-08-21,186203,234513,33641,1065,13317,-48310,-81951,-96333,-47245
2023-08-22,291224,360100,154165,12722,4363,-68876,-223041,-240126,-56154
2023-08-23,88489,281271,191254,16017,27800,-192782,-384036,-427853,-176765
2023-08-24,469047,41811,193188,5584,16506,427236,234048,211958,432820
2023-08-25,622834,205153,36343,19837,2499,417681,381338,359002,437518
2023-08-26,482614,291802,168314,9849,19271,190812,22498,-6622,200661
2023-08-27,523653,72336,22704,18987,19289,451317,428613,390337,470304
2023-08-28,388657,227391,43099,17223,23461,161266,118167,77483,178489
2023-08-29,424788,50165,175572,1796,4955,374623,199051,192300,376419
2023-08-30,481931,288415,121100,14663,27729,193516,72416,30024,208179
2023-08-31,263878,159629,124902,5032,4860,104249,-20653,-30545,109281
2023-09-01,540388,177554,152066,13552,17985,362834,210768,179231,376386
2023-09-02,661869,174872,162822,17681,12989,486997,324175,293505,504678
2023-09-03,112593,67567,21036,14305,4917,45026,23990,4768,59331
2023-09-04,668367,178200,36664,16565,27990,490167,453503,408948,506732
2023-09-05,173464,95959,166957,16448,18605,77505,-89452,-124505,93953
2023-09-06,362212,395729,84128,17088,9870,-33517,-117645,-144603,-16429
2023-09-07,413893,319423,15711,2844,7155,94470,78759,68760,97314
2023-09-08,116133,273647,17517,17326,1851,-157514,-175031,-194208,-140188
2023-09-09,272186,133562,57462,4486,29072,138624,81162,47604,143110
2023-09-10,687534,348984,93080,4053,1221,338550,245470,240196,342603
2023-09-11,521442,308362,101893,10227,22086,213080,111187,78874,223307
2023-09-12,547534,260969,56636,17535,4835,286565,229929,207559,304100
2023-09-13,602019,160748,43815,15305,19590,441271,397456,362561,456576
2023-09-14,783616,79385,46314,5707,20255,704231,657917,631955,709938
2023-09-15,409820,317474,169295,5909,29156,92346,-76949,-112014,98255
2023-09-16,412807,334817,82189,15289,789,77990,-4199,-20277,93279
2023-09-17,660231,34763,18938,4683,670,625468,606530,601177,630151
2023-09-18,476480,129543,144150,13442,15881,346937,202787,173464,360379
2023-09-19,316861,383672,96479,2030,20600,-66811,-163290,-185920,-64781
2023-09-20,148696,312831,137969,6486,7213,-164135,-302104,-315803,-157649
2023-09-21,551501,26630,158903,8040,19719,524871,365968,338209,532911
2023-09-22,311653,356256,172171,3774,19461,-44603,-216774,-240009,-40829
2023-09-23,116232,334569,119533,687,16306,-218337,-337870,-354863,-217650
2023-09-24,413997,146949,164722,10791,2269,267048,102326,89266,277839
2023-09-25,529434,224039,183063,18821,7360,305395,122332,96151,324216
2023-09-26,91360,300761,155532,14301,15265,-209401,-364933,-394499,-195100
2023-09-27,113138,335014,119201,18960,27191,-221876,-341077,-387228,-202916
2023-09-28,33783,231249,122710,13845,5910,-197466,-320176,-339931,-183621
2023-09-29,562061,213718,61499,3417,16875,348343,286844,266552,351760
